PeakID (cmd=annotatePeaks.pl 20260526_sig_peak_file_for_homer.txt mm10 -annStats 20260526_annotation_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
A_5664	chr2	92687656	92688156	+	0	NA	Intergenic	Intergenic	86789	NM_001356553	76969		NM_023850	ENSMUSG00000027221	Chst1	2610008E20Rik|C6ST|GST-1|Gst1|KS6ST|KSGAL6ST|KSST	carbohydrate sulfotransferase 1	protein-coding
A_37546	chr14	80025607	80026107	+	0	NA	Intergenic	Intergenic	25555	NM_001351947	380924		NM_001030294	ENSMUSG00000022026	Olfm4	GC1|GW112|Gm296|Gm913|OlfD|pPD4	olfactomedin 4	protein-coding
A_19488	chr7	28783881	28784381	+	0	NA	intron (NM_001122765, intron 8 of 14)	LTR82A|LTR|ERVL	-2617	NR_040339	100503790		NR_040339		Gm19897	-	predicted gene, 19897	ncRNA
A_38032	chr14	121198862	121199362	+	0	NA	intron (NM_134082, intron 2 of 26)	intron (NM_134082, intron 2 of 26)	-49594	NR_155502	320268		NR_155502		B930095G15Rik	-	RIKEN cDNA B930095G15 gene	ncRNA
A_1371	chr1	72593387	72593887	+	0	NA	intron (NM_018817, intron 5 of 16)	intron (NM_018817, intron 5 of 16)	10386	NM_018817	54380		NM_018817	ENSMUSG00000039354	Smarcal1	6030401P21Rik|Mharp	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	protein-coding
A_27568	chr10	78452544	78453044	+	0	NA	intron (NM_172134, intron 2 of 10)	intron (NM_172134, intron 2 of 10)	-7637	NR_105873	102466762		NR_105873	ENSMUSG00000098279	Mir6908	Gm27827|mmu-mir-6908	microRNA 6908	ncRNA
A_47290	chrX	166731447	166731947	+	0	NA	Intergenic	Intergenic	69672	NR_046015	382255		NR_046015	ENSMUSG00000086860	Gm1720	-	predicted gene 1720	ncRNA
A_27099	chr10	59969808	59970308	+	0	NA	Intergenic	Intergenic	-18288	NM_029083	74747		NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
A_5572	chr2	90504696	90505196	+	0	NA	intron (NM_008982, intron 1 of 23)	intron (NM_008982, intron 1 of 23)	-25772	NM_001135657	19271		NM_008982	ENSMUSG00000025314	Ptprj	BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|R-PTP-J|R-PTP-eta|RPTPJ|Scc-1|Scc1	protein tyrosine phosphatase receptor type J	protein-coding
A_19917	chr7	63522548	63523048	+	0	NA	intron (NM_130880, intron 1 of 13)	intron (NM_130880, intron 1 of 13)	78026	NM_130880	170711		NM_130880	ENSMUSG00000033510	Otud7a	Otud7	OTU domain containing 7A	protein-coding
A_22453	chr8	70583787	70584287	+	0	NA	intron (NM_007924, intron 6 of 11)	intron (NM_007924, intron 6 of 11)	-10444	NM_023627	71780		NM_023627	ENSMUSG00000019139	Isyna1	1300017C10Rik|IPS 1	myo-inositol 1-phosphate synthase A1	protein-coding
A_2525	chr1	136061318	136061818	+	0	NA	intron (NM_001081023, intron 2 of 43)	intron (NM_001081023, intron 2 of 43)	8757	NM_014193	12292		NM_014193	ENSMUSG00000026407	Cacna1s	Cav1.1|Cchl1a3|DHPR|DHPR alpha1s|fmd|mdg|sj	calcium channel, voltage-dependent, L type, alpha 1S subunit	protein-coding
A_9431	chr3	101012206	101012706	+	0	NA	intron (NM_001167906, intron 5 of 8)	intron (NM_001167906, intron 5 of 8)	17097	NM_001167906	630146		NM_001099332	ENSMUSG00000086564	Cd101	EWI-101|Gm1016|Gm734|Igsf2	CD101 antigen	protein-coding
A_26461	chr10	23414072	23414572	+	0	NA	Intergenic	Intergenic	-64379	NM_010167	14051		NM_010167	ENSMUSG00000010461	Eya4	B130023L16Rik	EYA transcriptional coactivator and phosphatase 4	protein-coding
A_29423	chr11	35416633	35417133	+	0	NA	intron (NM_011412, intron 4 of 35)	intron (NM_011412, intron 4 of 35)	-199933	NR_029799	723924		NR_029799	ENSMUSG00000065583	Mir218-2	Mirn218-2|mir-218-2	microRNA 218-2	ncRNA
A_6001	chr2	110896613	110897113	+	0	NA	intron (NM_001355245, intron 1 of 17)	intron (NM_001355245, intron 1 of 17)	53381	NM_001355246	228432		NM_001081556	ENSMUSG00000074968	Ano3	B230324K02Rik|Tmem16c	anoctamin 3	protein-coding
A_36401	chr14	27219597	27220097	+	0	NA	intron (NM_001289686, intron 3 of 12)	intron (NM_001289686, intron 3 of 12)	-18163	NM_027871	71704		NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|Xpln	Rho guanine nucleotide exchange factor 3	protein-coding
A_35122	chr13	81664299	81664799	+	0	NA	intron (NM_030257, intron 1 of 2)	RSINE1|SINE|B4	6743	NM_030257	80289		NM_030257	ENSMUSG00000035840	Lysmd3	1110030H10Rik	LysM, putative peptidoglycan-binding, domain containing 3	protein-coding
A_22474	chr8	70833532	70834032	+	0	NA	Intergenic	Intergenic	5938	NM_027560	70807		NM_027560	ENSMUSG00000002910	Arrdc2	4632416I05Rik|Ilad1	arrestin domain containing 2	protein-coding
A_3942	chr2	4529285	4529785	+	0	NA	intron (NM_172475, intron 7 of 22)	intron (NM_172475, intron 7 of 22)	-30219	NM_001177844	209630		NM_172475	ENSMUSG00000026657	Frmd4a	2700017I06Rik|5330420J21|C230040M21Rik|Frmd4|Gm13190|mKIAA1294	FERM domain containing 4A	protein-coding
A_24545	chr9	48737396	48737896	+	0	NA	intron (NM_001033324, intron 3 of 6)	intron (NM_001033324, intron 3 of 6)	98295	NM_001033324	235320		NM_001033324	ENSMUSG00000066687	Zbtb16	PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding
A_6985	chr2	152101719	152102219	+	0	NA	Intergenic	Intergenic	-3555	NM_029688	76650		NM_029688	ENSMUSG00000032802	Srxn1	1700127B04Rik|Npn3|Srx|Srx1|TX01	sulfiredoxin 1 homolog (S. cerevisiae)	protein-coding
A_3745	chr1	189217768	189218268	+	0	NA	intron (NM_001159850, intron 6 of 6)	intron (NM_001159850, intron 6 of 6)	-125033	NR_165462	115487348		NR_165462		A430027H14Rik	-	RIKEN cDNA A430027H14 gene	ncRNA
A_25426	chr9	96869977	96870477	+	0	NA	intron (NM_001289645, intron 1 of 6)	intron (NM_001289645, intron 1 of 6)	19247	NM_001289645	235534		NM_153420	ENSMUSG00000043587	Pxylp1	9430094M07Rik|Acpl2|C130099A20Rik	2-phosphoxylose phosphatase 1	protein-coding
A_8762	chr3	69542896	69543396	+	0	NA	intron (NM_178726, intron 2 of 3)	intron (NM_178726, intron 2 of 3)	55814	NM_020026	26879		NM_020026	ENSMUSG00000043300	B3galnt1	B3galt3|Mbrn 1|b3GT3|b3Gal-T3|beta-3-Gx-T3|beta3GalT3	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1	protein-coding
A_17867	chr6	90703796	90704296	+	0	NA	intron (NM_001356440, intron 1 of 13)	intron (NM_001356440, intron 1 of 13)	12483	NM_001134383	232227		NM_182784	ENSMUSG00000034312	Iqsec1	BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding
A_31470	chr12	8454427	8454927	+	0	NA	Intergenic	Intergenic	45332	NM_007483	11852		NM_007483	ENSMUSG00000054364	Rhob	Arh6|Arhb	ras homolog family member B	protein-coding
A_7369	chr2	167860472	167860972	+	0	NA	Intergenic	Intergenic	-71605	NM_011201	19246		NM_011201	ENSMUSG00000027540	Ptpn1	PTP-1B|PTP-HA2|PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding
A_44222	chr18	46409479	46409979	+	0	NA	Intergenic	Intergenic	56087	NR_045438	72076		NM_028086		Mospd4	2010013H21Rik	motile sperm domain containing 4	pseudo
A_31012	chr11	108023120	108023620	+	0	NA	intron (NM_011101, intron 5 of 16)	intron (NM_011101, intron 5 of 16)	26522	NR_106082	102465705		NR_106082	ENSMUSG00000098989	Mir7223	Gm28009|mmu-mir-7223	microRNA 7223	ncRNA
A_43447	chr18	11144809	11145309	+	0	NA	Intergenic	Intergenic	-92492	NR_105022	68434		NR_105022	ENSMUSG00000097222	Gata6os	1010001N08Rik|Gata6as|LncGata6	GATA binding protein 6, opposite strand	ncRNA
A_22451	chr8	70552750	70553250	+	0	NA	intron (NM_007924, intron 1 of 11)	intron (NM_007924, intron 1 of 11)	13325	NM_007924	13716		NM_007924	ENSMUSG00000070002	Ell	Ell1|Men	elongation factor RNA polymerase II	protein-coding
A_32284	chr12	54017931	54018431	+	0	NA	intron (NM_001370962, intron 7 of 11)	intron (NM_001370962, intron 7 of 11)	185693	NM_028133	112407		NM_028133	ENSMUSG00000035105	Egln3	2610021G09Rik|Hif-p4h-3|Phd3|SM-20	egl-9 family hypoxia-inducible factor 3	protein-coding
A_5823	chr2	102579271	102579771	+	0	NA	intron (NM_173749, intron 1 of 10)	intron (NM_173749, intron 1 of 10)	29500	NM_173749	210622		NM_173749	ENSMUSG00000027188	Pamr1	5930437L24|E430002G05Rik|Ramp	peptidase domain containing associated with muscle regeneration 1	protein-coding
A_38581	chr15	34407010	34407510	+	0	NA	intron (NM_001358780, intron 8 of 18)	intron (NM_001358780, intron 8 of 18)	35965	NM_009083	19946		NM_009083	ENSMUSG00000058600	Rpl30	-	ribosomal protein L30	protein-coding
A_809	chr1	46886030	46886530	+	0	NA	intron (NM_001356417, intron 2 of 10)	intron (NM_001356417, intron 2 of 10)	-32662	NM_172653	227059		NM_172653	ENSMUSG00000025986	Slc39a10	2900042E17Rik|5430433I10|Zip10|mKIAA1265	solute carrier family 39 (zinc transporter), member 10	protein-coding
A_42137	chr17	27120580	27121080	+	0	NA	intron (NM_080553, intron 56 of 57)	intron (NM_080553, intron 56 of 57)	13061	NM_001364944	67267		NM_026063	ENSMUSG00000024208	Uqcc2	2900010M23Rik|Cbp6|M19|Mnf1	ubiquinol-cytochrome c reductase complex assembly factor 2	protein-coding
A_16172	chr5	149566927	149567427	+	0	NA	intron (NM_029440, intron 7 of 22)	intron (NM_029440, intron 7 of 22)	-29147	NR_045423	100415916		NR_045423	ENSMUSG00000107132	Gm15997	-	predicted gene 15997	ncRNA
A_1764	chr1	89400606	89401106	+	0	NA	intron (NR_040482, intron 1 of 2)	intron (NR_040482, intron 1 of 2)	5277	NR_040482	77331		NR_040482	ENSMUSG00000099938	C030007H22Rik	-	RIKEN cDNA C030007H22 gene	ncRNA
A_24413	chr9	41766528	41767028	+	0	NA	Intergenic	Intergenic	184852	NR_029822	387236		NR_029822	ENSMUSG00000093354	Mir125b-1	Mirn125b|Mirn125b-1|mir-125b-1	microRNA 125b-1	ncRNA
A_41794	chr17	5115961	5116461	+	0	NA	intron (NM_001085355, intron 3 of 19)	intron (NM_001085355, intron 3 of 19)	121137	NM_001085355	239985		NM_001085355	ENSMUSG00000069729	Arid1b	8030481M12|9330189K18Rik|Ardi1b|B230217J03Rik|BAF250B|mKIAA1235	AT-rich interaction domain 1B	protein-coding
A_23797	chr8	127719819	127720319	+	0	NA	Intergenic	Intergenic	420457	NM_001013581	93742		NM_033620	ENSMUSG00000025812	Pard3	Asip|D8Ertd580e|Par-3|Par3|Pard-3|Pard3a|Phip	par-3 family cell polarity regulator	protein-coding
A_4717	chr2	44461953	44462453	+	0	NA	Intergenic	Intergenic	-396879	NR_040622	320872		NR_040622	ENSMUSG00000085089	Arhgap15os	A430092G05Rik	Rho GTPase activating protein 15, opposite strand	ncRNA
A_36857	chr14	54748135	54748635	+	0	NA	intron (NM_016972, intron 3 of 10)	intron (NM_016972, intron 3 of 10)	33501	NM_016972	50934		NM_016972	ENSMUSG00000022180	Slc7a8	LAT2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	protein-coding
A_8728	chr3	68589230	68589730	+	0	NA	intron (NM_013928, intron 1 of 6)	intron (NM_013928, intron 1 of 6)	17112	NM_013928	30953		NM_013928	ENSMUSG00000027777	Schip1	Nf2ip|Schip-1	schwannomin interacting protein 1	protein-coding
A_28060	chr10	95790764	95791264	+	0	NA	Intergenic	Intergenic	51896	NR_169127	102636491		NR_169124	ENSMUSG00000110353	Gm33543	Gm45531	predicted gene, 33543	ncRNA
A_29353	chr11	32621994	32622494	+	0	NA	intron (NM_001359177, intron 18 of 18)	intron (NM_001359177, intron 18 of 18)	-20311	NM_001271348	103583		NM_134015	ENSMUSG00000020271	Fbxw11	2310065A07Rik|BTRC2|BTRCP2|Fbxw1b|HOS	F-box and WD-40 domain protein 11	protein-coding
A_8872	chr3	79558875	79559375	+	0	NA	intron (NM_001162999, intron 1 of 16)	intron (NM_001162999, intron 1 of 16)	8554	NM_001162999	329679		NM_001162999	ENSMUSG00000061175	Fnip2	D630023B12Rik|mKIAA1450	folliculin interacting protein 2	protein-coding
A_5436	chr2	78753859	78754359	+	0	NA	Intergenic	Intergenic	-114938	NM_009454	22193		NM_009454	ENSMUSG00000027011	Ube2e3	Ubce4|ubcM2	ubiquitin-conjugating enzyme E2E 3	protein-coding
A_33716	chr13	12195965	12196465	+	0	NA	intron (NM_001081128, intron 27 of 32)	intron (NM_001081128, intron 27 of 32)	-9727	NR_045170	328186		NM_183202		Gm10336	B330003H21	predicted gene 10336	ncRNA
A_42673	chr17	56028236	56028736	+	0	NA	intron (NM_013664, intron 1 of 9)	intron (NM_013664, intron 1 of 9)	8151	NM_013664	20405		NM_013664	ENSMUSG00000003200	Sh3gl1	EEN|SH3P8|Sh3d2b	SH3-domain GRB2-like 1	protein-coding
A_42584	chr17	49652254	49652754	+	0	NA	intron (NM_177052, intron 3 of 22)	intron (NM_177052, intron 3 of 22)	37332	NM_177052	319991		NM_177052	ENSMUSG00000023999	Kif6	D130004B10Rik|D130084M03Rik	kinesin family member 6	protein-coding
A_28450	chr10	114698504	114699004	+	0	NA	intron (NM_146241, intron 2 of 18)	L2b|LINE|L2	-102972	NR_155864	102633245		NR_155864	ENSMUSG00000084865	Gm15723	-	predicted gene 15723	ncRNA
A_24962	chr9	70665294	70665794	+	0	NA	Intergenic	LTR88c|LTR|Gypsy?	-8370	NM_172772	235461		NM_172772	ENSMUSG00000042444	Mindy2	B230380D07Rik|Fam63b|mKIAA1164	MINDY lysine 48 deubiquitinase 2	protein-coding
A_45607	chr19	22916543	22917043	+	0	NA	intron (NM_001362508, intron 1 of 6)	intron (NM_001362508, intron 1 of 6)	833	NM_001362508	226025		NM_177341	ENSMUSG00000052387	Trpm3	6330504P12Rik|9330180E14|B930001P07Rik|LTRPC3|MLSN2	transient receptor potential cation channel, subfamily M, member 3	protein-coding
A_24543	chr9	48723572	48724072	+	0	NA	intron (NM_001033324, intron 3 of 6)	intron (NM_001033324, intron 3 of 6)	112119	NM_001033324	235320		NM_001033324	ENSMUSG00000066687	Zbtb16	PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding
A_23605	chr8	122234004	122234504	+	0	NA	intron (NM_001362883, intron 1 of 2)	intron (NM_001362883, intron 1 of 2)	3980	NM_001362883	195209		NM_001362883	ENSMUSG00000043903	Zfp469	Gm22	zinc finger protein 469	protein-coding
A_40505	chr16	24149384	24149884	+	0	NA	Intergenic	Intergenic	-59569	NR_168004	102633856		NR_168004	ENSMUSG00000115919	Gm31583	-	predicted gene, 31583	ncRNA
A_45744	chr19	29024184	29024684	+	0	NA	TTS (NM_001377047)	TTS (NM_001377047)	-23049	NR_028360	67329		NR_028360		1700018L02Rik	-	RIKEN cDNA 1700018L02 gene	ncRNA
A_44787	chr18	67497880	67498380	+	0	NA	intron (NM_176832, intron 9 of 13)	intron (NM_176832, intron 9 of 13)	33281	NM_144867	225655		NM_144867	ENSMUSG00000024530	Prelid3a	A230074A19Rik|Slmo1	PRELI domain containing 3A	protein-coding
A_35420	chr13	97508640	97509140	+	0	NA	Intergenic	Intergenic	26189	NR_110431	100039691		NR_110430	ENSMUSG00000078952	Lncenc1	Gm11019|Gm2373|Lincenc1|Platr18|linc-Enc1	long non-coding RNA, embryonic stem cells expressed 1	ncRNA
A_44801	chr18	67950209	67950709	+	0	NA	intron (NM_172631, intron 1 of 5)	intron (NM_172631, intron 1 of 5)	17286	NM_172631	52662		NM_172631	ENSMUSG00000024544	Ldlrad4	8230401C20Rik|A430083H02|A430108L08Rik|C18orf1|D18Ertd653e|D330030L18Rik	low density lipoprotein receptor class A domain containing 4	protein-coding
A_37015	chr14	60693053	60693553	+	0	NA	intron (NM_001033272, intron 2 of 12)	intron (NM_001033272, intron 2 of 12)	-39601	NM_001310594	219140		NM_001033272	ENSMUSG00000021990	Spata13	ESTM11|asef2|mFLJ00298	spermatogenesis associated 13	protein-coding
A_1138	chr1	61257470	61257970	+	0	NA	Intergenic	L2|LINE|L2	-120712	NR_040483	77341		NR_040483	ENSMUSG00000085447	9530026F06Rik	-	RIKEN cDNA 9530026F06 gene	ncRNA
A_32996	chr12	89180200	89180700	+	0	NA	intron (NM_172544, intron 2 of 19)	intron (NM_172544, intron 2 of 19)	227060	NM_172544	18191		NM_172544	ENSMUSG00000066392	Nrxn3	-	neurexin III	protein-coding
A_26437	chr10	22000485	22000985	+	0	NA	TTS (NM_001161849)	TTS (NM_001161849)	6069	NM_011361	20393		NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding
A_13686	chr5	9663378	9663878	+	0	NA	intron (NM_181850, intron 1 of 5)	intron (NM_181850, intron 1 of 5)	61724	NM_181850	108069		NM_181850	ENSMUSG00000003974	Grm3	0710001G23Rik|Gprc1c|mGlu3|mGluR3	glutamate receptor, metabotropic 3	protein-coding
A_21626	chr8	24987468	24987968	+	0	NA	intron (NM_001270996, intron 11 of 21)	Lx4A|LINE|L1	29204	NM_001270996	11502		NM_007404	ENSMUSG00000031555	Adam9	MDC9|Mltng|mKIAA0021	ADAM metallopeptidase domain 9	protein-coding
A_27828	chr10	86819732	86820232	+	0	NA	intron (NM_175331, intron 6 of 13)	intron (NM_175331, intron 6 of 13)	40977	NM_175331	103466		NM_175331	ENSMUSG00000054027	Nt5dc3	C630002B14Rik|TU12B1-TY	5'-nucleotidase domain containing 3	protein-coding
A_24546	chr9	48740093	48740593	+	0	NA	intron (NM_001033324, intron 3 of 6)	intron (NM_001033324, intron 3 of 6)	95598	NM_001033324	235320		NM_001033324	ENSMUSG00000066687	Zbtb16	PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding
A_43609	chr18	20665995	20666495	+	0	NA	promoter-TSS (NR_155534)	promoter-TSS (NR_155534)	-985	NR_155534	102633478		NR_155534	ENSMUSG00000085595	Gm16090	-	predicted gene 16090	ncRNA
A_2001	chr1	106013693	106014193	+	0	NA	intron (NM_001122675, intron 5 of 12)	intron (NM_001122675, intron 5 of 12)	23537	NM_001122675	227449		NM_001122675	ENSMUSG00000038866	Zcchc2	9930114B20Rik	zinc finger, CCHC domain containing 2	protein-coding
A_40753	chr16	35183081	35183581	+	0	NA	intron (NM_001012765, intron 1 of 20)	intron (NM_001012765, intron 1 of 20)	28467	NM_001012765	224129		NM_001012765	ENSMUSG00000022840	Adcy5	Ac5	adenylate cyclase 5	protein-coding
A_1391	chr1	73075666	73076166	+	0	NA	Intergenic	Intergenic	51330	NR_038002	69449		NR_038001	ENSMUSG00000101968	Teshl	1700027A15Rik	testicular germ cell expressed HSF2 interacting lncRNA	ncRNA
A_23674	chr8	124265839	124266339	+	0	NA	intron (NM_139272, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	34695	NM_139272	108148		NM_139272	ENSMUSG00000089704	Galnt2	-	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
A_35698	chr13	107449692	107450192	+	0	NA	Intergenic	Intergenic	-19880	NR_045083	105120		NR_045083	ENSMUSG00000114780	AI197445	-	expressed sequence AI197445	ncRNA
A_32634	chr12	75304053	75304553	+	0	NA	Intergenic	Intergenic	-4010	NM_023275	80837		NM_023275	ENSMUSG00000046768	Rhoj	1110005O19Rik|Arhj|TC10L|TCL	ras homolog family member J	protein-coding
A_14156	chr5	34565859	34566359	+	0	NA	Intergenic	L1ME3B|LINE|L1	-7555	NM_001024458	11518		NM_013457	ENSMUSG00000029106	Add1	-	adducin 1	protein-coding
A_43921	chr18	35019025	35019525	+	0	NA	Intergenic	Intergenic	36601	NR_167746	102639815		NR_167746		Gm36037	-	predicted gene, 36037	ncRNA
A_413	chr1	26276593	26277093	+	0	NA	Intergenic	MTEb|LTR|ERVL-MaLR	410617	NM_001033764	210940		NM_001033764	ENSMUSG00000073722	Spata31e2	4931408C20Rik	spermatogenesis associated 31 subfamily E member 2	protein-coding
A_37170	chr14	66190238	66190738	+	0	NA	intron (NM_001162366, intron 2 of 30)	intron (NM_001162366, intron 2 of 30)	23336	NM_001360233	19229		NM_172498	ENSMUSG00000059456	Ptk2b	CADTK|CAKB|CAKbeta|E430023O05Rik|FADK2|FAK2|PYK2|Raftk	PTK2 protein tyrosine kinase 2 beta	protein-coding
A_44619	chr18	62046920	62047420	+	0	NA	Intergenic	Intergenic	94095	NM_172628	225608		NM_172628	ENSMUSG00000045629	Sh3tc2	D430044G18Rik	SH3 domain and tetratricopeptide repeats 2	protein-coding
A_17855	chr6	90471090	90471590	+	0	NA	intron (NM_001355668, intron 2 of 2)	intron (NM_001355668, intron 2 of 2)	8764	NM_023184	66277		NM_023184	ENSMUSG00000030087	Klf15	1810013I09Rik|CKLF|KKLF|hlb444	Kruppel-like transcription factor 15	protein-coding
A_21060	chr7	130953211	130953711	+	0	NA	intron (NM_019564, intron 1 of 8)	LTR90B|LTR|LTR	17258	NM_019564	56213		NM_019564	ENSMUSG00000006205	Htra1	HTRA|L56|Prss11|RSPP11	HtrA serine peptidase 1	protein-coding
