ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
9003	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698536	134698843	134741141	134741257	134698342	134698378	134741367	134741439
9004	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698536	134698843	134741141	134741286	134698342	134698378	134741367	134741439
9005	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698771	134698843	134741141	134741218	134698342	134698378	134741367	134741439
9006	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698771	134698843	134741141	134741230	134698342	134698378	134741367	134741439
9007	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698771	134698843	134741141	134741257	134698342	134698378	134741367	134741439
9008	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134698771	134698843	134741141	134741286	134698342	134698378	134741367	134741439
9009	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644271	134644311	134644480	134643481	134643727	134645247	134645324
9010	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644271	134644311	134644654	134643481	134643727	134645247	134645324
9011	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134652693	134652766	134698301	134698390	134649404	134649531	134698536	134698613
9012	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134652693	134652766	134698301	134698417	134649404	134649531	134698536	134698613
9013	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134652693	134652766	134698301	134698446	134649404	134649531	134698536	134698613
9014	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134652693	134652766	134698301	134698625	134649404	134649531	134698771	134698843
9015	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134652693	134652766	134698301	134698652	134649404	134649531	134698771	134698843
9016	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134652693	134652766	134698301	134698681	134649404	134649531	134698771	134698843
9017	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134653178	134653269	134662477	134662596	134652693	134652766	134679654	134681535
9018	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134662477	134662596	134693164	134693230	134652693	134652766	134696890	134697085
9019	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696890	134697085	134697659	134697786	134652693	134652766	134698301	134698378
9020	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696890	134697085	134697659	134697786	134652693	134652766	134698536	134698613
9021	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696890	134697085	134698301	134698390	134652693	134652766	134698536	134698613
9022	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696890	134697085	134698301	134698417	134652693	134652766	134698536	134698613
9023	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696890	134697085	134698301	134698446	134652693	134652766	134698536	134698613
9024	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134697659	134697786	134652693	134652766	134698301	134698378
9025	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134697659	134697786	134652693	134652766	134698536	134698613
9026	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134698301	134698378	134652693	134652766	134698536	134698613
9027	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134698301	134698390	134652693	134652766	134698536	134698613
9028	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134698301	134698417	134652693	134652766	134698536	134698613
9029	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697085	134698301	134698446	134652693	134652766	134698536	134698613
9030	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698378	134652693	134652766	134698536	134698613
9031	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698390	134652693	134652766	134698536	134698613
9032	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698417	134652693	134652766	134698536	134698613
9033	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698446	134652693	134652766	134698536	134698613
9034	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698378	134696890	134697085	134698536	134698613
9035	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698390	134696890	134697085	134698536	134698613
9036	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698417	134696890	134697085	134698536	134698613
9037	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697659	134697786	134698301	134698446	134696890	134697085	134698536	134698613
9038	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697697	134697786	134698301	134698390	134696890	134697085	134698536	134698613
9039	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697697	134697786	134698301	134698417	134696890	134697085	134698536	134698613
9040	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134697697	134697786	134698301	134698446	134696890	134697085	134698536	134698613
9041	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698536	134698625	134652693	134652766	134698771	134698843
9042	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698536	134698652	134652693	134652766	134698771	134698843
9043	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698536	134698681	134652693	134652766	134698771	134698843
9044	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698537	134698613	134652693	134652766	134698771	134698843
9045	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698537	134698625	134652693	134652766	134698771	134698843
9046	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698537	134698652	134652693	134652766	134698771	134698843
9047	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698537	134698681	134652693	134652766	134698771	134698843
9048	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698536	134698625	134697697	134697786	134698771	134698843
9049	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698536	134698652	134697697	134697786	134698771	134698843
9050	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698378	134698536	134698681	134697697	134697786	134698771	134698843
9051	"ENSMUSG00000031256.12"	"Cstf2"	chrX	+	132963346	132963484	132963542	132963715	132963145	132963236	132967009	132967133
9052	"ENSMUSG00000025592.18"	"Dach2"	chrX	+	112208220	112208632	112360281	112360363	112207624	112207774	112362154	112362193
9053	"ENSMUSG00000025592.18"	"Dach2"	chrX	+	112208220	112208632	112362154	112362193	112207624	112207774	112465944	112466057
9054	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059582	105059640	105059710	105059825	105059321	105059476	105063184	105063309
9055	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059582	105059640	105059710	105059828	105059321	105059476	105063184	105063309
9056	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059582	105059640	105061203	105061315	105059321	105059476	105063184	105063309
9057	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059582	105059825	105061203	105061315	105059321	105059476	105063184	105063309
9058	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059582	105059828	105061203	105061315	105059321	105059476	105063184	105063309
9059	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059710	105059825	105061203	105061315	105059321	105059476	105063184	105063309
9060	"ENSMUSG00000031231.5"	"Cox7b"	chrX	+	105059710	105059828	105061203	105061315	105059321	105059476	105063184	105063309
9061	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102616105	102616167	102635408	102635665	102608135	102608178	102639536	102639613
9062	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102616105	102616167	102635408	102635665	102613178	102614481	102639536	102639613
9063	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102625507	102625621	102635408	102635665	102608135	102608178	102639536	102639613
9064	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102625507	102625621	102635408	102635665	102616105	102616167	102639536	102639613
9065	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102625507	102625621	102635455	102635490	102616105	102616167	102639536	102639613
9066	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102625507	102625621	102635455	102635495	102616105	102616167	102639536	102639613
9067	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102625507	102625621	102635455	102635512	102616105	102616167	102639536	102639613
9068	"ENSMUSG00000086370.12"	"Ftx"	chrX	-	102625507	102625621	102635455	102635665	102616105	102616167	102639536	102639613
9069	"ENSMUSG00000034055.17"	"Phka1"	chrX	-	101571339	101571723	101575527	101575566	101564359	101564530	101576008	101576124
9070	"ENSMUSG00000034055.17"	"Phka1"	chrX	-	101571339	101571723	101575682	101575721	101564359	101564530	101576008	101576124
9071	"ENSMUSG00000067567.13"	"Hdac8"	chrX	-	101338258	101338322	101351244	101351350	101328244	101328774	101446190	101446285
9072	"ENSMUSG00000049191.13"	"Rtl5"	chrX	-	101110822	101110905	101110905	101111031	101110339	101110723	101111133	101111206
9073	"ENSMUSG00000031197.12"	"Vbp1"	chrX	+	74565390	74565399	74566230	74566256	74564968	74565035	74566865	74566964
9074	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73377351	73377452	73377645	73377705	73377152	73377281	73377830	73377954
9075	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73377351	73377452	73377645	73377734	73377152	73377281	73377830	73377954
9076	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73327545	73327623	73331624	73331705	73327253	73327299	73331783	73331825
9077	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73332267	73332320	73332569	73332625	73332056	73332119	73332710	73332788
9078	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73332267	73332320	73332569	73332788	73332056	73332119	73332904	73332954
9079	"ENSMUSG00000031391.19"	"L1cam"	chrX	-	72899748	72899862	72899862	72899886	72899364	72899437	72900237	72900399
9080	"ENSMUSG00000031391.19"	"L1cam"	chrX	-	72904044	72904155	72904325	72904807	72903624	72903822	72904911	72905078
9081	"ENSMUSG00000031391.19"	"L1cam"	chrX	-	72904325	72904450	72904911	72905297	72904044	72904155	72905883	72906027
9082	"ENSMUSG00000031391.19"	"L1cam"	chrX	-	72904329	72904450	72904911	72905297	72904044	72904155	72905883	72906027
9083	"ENSMUSG00000031385.15"	"Plxnb3"	chrX	+	72815351	72815413	72815413	72815426	72815148	72815224	72815751	72816120
9084	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547437	72547626	72552894	72553074	72546691	72546940	72566440	72566768
9085	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547437	72547626	72562682	72562964	72546691	72546940	72566440	72566768
9086	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547437	72547626	72562685	72562964	72546691	72546940	72566440	72566768
9087	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547437	72547626	72564788	72564844	72546691	72546940	72566440	72566768
9088	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547523	72547626	72552894	72553074	72546691	72546940	72566440	72566768
9089	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547523	72547626	72562682	72562964	72546691	72546940	72566440	72566768
9090	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547523	72547626	72562685	72562964	72546691	72546940	72566440	72566768
9091	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547523	72547626	72564788	72564844	72546691	72546940	72566440	72566768
9092	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547526	72547626	72552894	72553074	72546691	72546940	72566440	72566768
9093	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547526	72547626	72562682	72562964	72546691	72546940	72566440	72566768
9094	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547526	72547626	72562685	72562964	72546691	72546940	72566440	72566768
9095	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72547526	72547626	72564788	72564844	72546691	72546940	72566440	72566768
9096	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72552894	72553074	72562682	72562964	72546691	72546940	72566440	72566768
9097	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72552894	72553074	72562685	72562964	72546691	72546940	72566440	72566768
9098	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72552894	72553074	72564788	72564844	72546691	72546940	72566440	72566768
9099	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72562682	72562964	72564788	72564844	72546691	72546940	72566440	72566768
9100	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72562685	72562964	72564788	72564844	72546691	72546940	72566440	72566768
9101	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598601	72598841	72603469	72603475	72596405	72596513	72613839	72614611
9102	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598601	72598841	72603469	72603478	72596405	72596513	72613839	72614611
9103	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598601	72598841	72603469	72603556	72596405	72596513	72613839	72614611
9104	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598601	72598841	72603469	72603623	72596405	72596513	72613839	72614611
9105	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598604	72598841	72603469	72603475	72596405	72596513	72613839	72614611
9106	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598604	72598841	72603469	72603478	72596405	72596513	72613839	72614611
9107	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598604	72598841	72603469	72603556	72596405	72596513	72613839	72614611
9108	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598604	72598841	72603469	72603623	72596405	72596513	72613839	72614611
9109	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598658	72598841	72603469	72603475	72596405	72596513	72613839	72614611
9110	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598658	72598841	72603469	72603478	72596405	72596513	72613839	72614611
9111	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72598658	72598841	72603469	72603556	72596405	72596513	72613839	72614611
9112	"ENSMUSG00000031376.16"	"Atp2b3"	chrX	+	72605625	72605702	72610003	72610073	72603469	72603623	72613839	72614611
9113	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71544684	71544905	71583668	71583777	71519831	71519914	71596282	71596465
9114	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71554910	71554978	71596282	71596360	71544799	71544905	71699612	71699852
9115	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71596282	71596360	71688043	71688121	71583668	71583790	71699612	71699852
9116	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71596282	71596465	71688043	71688121	71583668	71583790	71700260	71700454
9117	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71635732	71635813	71681131	71681327	71596282	71596457	71699612	71699852
9118	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71635732	71635813	71688043	71688121	71596282	71596457	71699612	71699852
9119	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71635732	71635813	71699064	71699147	71596282	71596457	71699612	71699852
9120	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71681131	71681327	71688043	71688121	71596282	71596457	71699612	71699852
9121	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71681131	71681327	71699064	71699147	71596282	71596457	71699612	71699852
9122	"ENSMUSG00000031343.14"	"Gabra3"	chrX	-	71688043	71688121	71699064	71699147	71596282	71596457	71699612	71699852
9123	"ENSMUSG00000059401.15"	"Mamld1"	chrX	+	70164963	70165074	70186280	70186322	70161086	70163000	70189791	70190041
9124	"ENSMUSG00000059401.15"	"Mamld1"	chrX	+	70164963	70165074	70189857	70190041	70161086	70163000	70195795	70195880
9125	"ENSMUSG00000067835.5"	"Gm14661"	chrX	+	59658333	59658448	59672601	59672727	59615242	59615311	59723839	59723919
9126	"ENSMUSG00000025630.9"	"Hprt1"	chrX	+	52090964	52091148	52096354	52096598	52087967	52088074	52097529	52097595
9127	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49687010	49687078	49689620	49689688	49684337	49684492	49692315	49692402
9128	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49687010	49687078	49689620	49689775	49684337	49684492	49692315	49692402
9129	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49691399	49691481	49691710	49691795	49689645	49689775	49692315	49692402
9130	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692247	49692402	49697347	49697436	49689620	49689775	49697563	49697691
9131	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692247	49692402	49697347	49697502	49689620	49689775	49697563	49697691
9132	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692247	49692402	49697354	49697436	49689620	49689775	49697563	49697691
9133	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692247	49692402	49697354	49697502	49689620	49689775	49697563	49697691
9134	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697347	49697436	49689620	49689775	49697563	49697691
9135	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697347	49697502	49689620	49689775	49697563	49697691
9136	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697354	49697436	49689620	49689775	49697563	49697691
9137	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697354	49697502	49689620	49689775	49697563	49697691
9138	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697392	49697436	49689645	49689775	49697563	49697691
9139	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697392	49697481	49689645	49689775	49697563	49697691
9140	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697392	49697484	49689645	49689775	49697563	49697691
9141	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697392	49697502	49689645	49689775	49697563	49697691
9142	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692315	49692402	49697392	49697691	49689645	49689775	49704237	49704392
9143	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697354	49697436	49689645	49689775	49697563	49697691
9144	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697354	49697484	49689645	49689775	49697563	49697691
9145	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697354	49697502	49689645	49689775	49697563	49697691
9146	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697392	49697436	49689645	49689775	49697563	49697691
9147	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697392	49697481	49689645	49689775	49697563	49697691
9148	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697392	49697484	49689645	49689775	49697563	49697691
9149	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697392	49697502	49689645	49689775	49697563	49697691
9150	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49692316	49692402	49697392	49697691	49689645	49689775	49704237	49704392
9151	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694884	49695039	49697347	49697436	49692247	49692402	49697563	49697691
9152	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694884	49695039	49697347	49697502	49692247	49692402	49697563	49697691
9153	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694884	49695039	49697392	49697691	49692315	49692402	49704237	49704392
9154	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694952	49695039	49697347	49697436	49689620	49689775	49697563	49697691
9155	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694952	49695039	49697347	49697502	49689620	49689775	49697563	49697691
9156	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694952	49695039	49697354	49697436	49689620	49689775	49697563	49697691
9157	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694952	49695039	49697354	49697502	49689620	49689775	49697563	49697691
9158	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694952	49695039	49697347	49697436	49692247	49692402	49697563	49697691
9159	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49694952	49695039	49697347	49697502	49692247	49692402	49697563	49697691
9160	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49709551	49709681	49712191	49712266	49704237	49704392	49715313	49715386
9161	"ENSMUSG00000085396.10"	"Firre"	chrX	-	49709551	49709721	49712191	49712266	49704237	49704392	49715313	49715386
9162	"ENSMUSG00000031109.18"	"Enox2"	chrX	-	48257508	48257661	48375719	48375781	48169493	48169628	48376977	48377119
9163	"ENSMUSG00000031109.18"	"Enox2"	chrX	-	48257508	48257661	48375732	48375781	48169493	48169628	48376977	48377119
9164	"ENSMUSG00000031109.18"	"Enox2"	chrX	-	48257517	48257661	48375719	48375781	48169493	48169628	48376977	48377119
9165	"ENSMUSG00000036916.14"	"Zfp280c"	chrX	-	47671898	47672059	47673611	47673768	47667292	47667406	47677579	47677626
9166	"ENSMUSG00000025862.15"	"Stag2"	chrX	+	41239576	41239711	41256584	41256633	41239030	41239168	41290731	41290871
9167	"ENSMUSG00000025862.15"	"Stag2"	chrX	+	41239576	41239965	41256584	41256633	41239030	41239168	41290731	41290871
9168	"ENSMUSG00000025862.15"	"Stag2"	chrX	+	41256584	41256633	41285119	41285232	41239577	41239711	41290731	41290871
9169	"ENSMUSG00000025862.15"	"Stag2"	chrX	+	41256584	41256633	41285119	41285432	41239577	41239711	41290731	41290871
9170	"ENSMUSG00000025862.15"	"Stag2"	chrX	+	41256584	41256633	41285259	41285432	41239577	41239711	41290731	41290871
9171	"ENSMUSG00000025862.15"	"Stag2"	chrX	+	41285119	41285232	41285259	41285432	41239577	41239711	41290731	41290871
9172	"ENSMUSG00000025860.16"	"Xiap"	chrX	+	41173068	41173170	41180906	41181052	41157286	41157359	41183243	41184149
9173	"ENSMUSG00000036699.13"	"Zcchc12"	chrX	+	35459756	35460117	35460161	35460220	35459556	35459665	35460431	35460559
9174	"ENSMUSG00000036699.13"	"Zcchc12"	chrX	+	35459756	35460117	35460161	35460231	35459556	35459665	35460431	35460559
9175	"ENSMUSG00000140630.1"	"ENSMUSG00000140630"	chrX	-	35458319	35458461	35459659	35459794	35414159	35414244	35460401	35460572
9176	"ENSMUSG00000001127.13"	"Araf"	chrX	+	20667937	20668068	20675265	20675338	20664052	20664120	20716165	20716321
9177	"ENSMUSG00000001127.13"	"Araf"	chrX	+	20667937	20668068	20704999	20705050	20664052	20664120	20716165	20716321
9178	"ENSMUSG00000001127.13"	"Araf"	chrX	+	20675265	20675338	20704999	20705050	20664052	20664120	20716165	20716321
9179	"ENSMUSG00000001127.13"	"Araf"	chrX	+	20715350	20715395	20715907	20716023	20714827	20714858	20716165	20716321
9180	"ENSMUSG00000001924.16"	"Uba1"	chrX	+	20545629	20545704	20545831	20545932	20544827	20545023	20547021	20547110
9181	"ENSMUSG00000001924.16"	"Uba1"	chrX	+	20545629	20545704	20545831	20546027	20544827	20545023	20547021	20547110
9182	"ENSMUSG00000001924.16"	"Uba1"	chrX	+	20545831	20546017	20547021	20547110	20545629	20545704	20547346	20547439
9183	"ENSMUSG00000040229.12"	"Gpr34"	chrX	+	13503857	13503892	13504268	13504349	13499727	13499796	13505380	13507097
9184	"ENSMUSG00000031012.18"	"Cask"	chrX	-	13417185	13417221	13418611	13418676	13415403	13415600	13421116	13421185
9185	"ENSMUSG00000031010.18"	"Usp9x"	chrX	+	12940135	12940411	12959196	12959217	12938453	12938564	12960162	12960416
9186	"ENSMUSG00000058254.13"	"Tspan7"	chrX	+	10383530	10383675	10414810	10414908	10351396	10351477	10445553	10445742
9187	"ENSMUSG00000058254.13"	"Tspan7"	chrX	+	10383530	10383675	10422877	10423156	10351396	10351477	10445553	10445742
9188	"ENSMUSG00000058254.13"	"Tspan7"	chrX	+	10414810	10414908	10422877	10423156	10351396	10351477	10445553	10445742
9189	"ENSMUSG00000058254.13"	"Tspan7"	chrX	+	10445554	10445742	10448403	10448478	10351396	10351477	10450280	10450376
9190	"ENSMUSG00000031166.14"	"Wdr13"	chrX	-	7995177	7995515	7996241	7996280	7994272	7994453	7996494	7996604
