ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
75	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73326355	73327006	73326355	73326722	73326877	73327006	75	8,6,1,2	120,168,144,113	4,4,8	101,113,130	304	149	1	1.0	0.032,0.017,0.003,0.009	0.019,0.017,0.029	-0.006
76	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332053	73332119	76	126,142,107,101	4,10,6,12	79,112,39	8,4,2	377	149	1	1.0	0.926,0.849,0.876,0.769	0.796,0.917,0.885	-0.011
77	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332056	73332119	77	126,142,107,101	45,80,52,64	79,112,40	57,82,70	380	149	0.30963303044	1.0	0.523,0.41,0.447,0.382	0.352,0.349,0.183	0.146
78	"ENSMUSG00000009995.18"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332534	73332625	78	204,166,137,142	0,0,0,0	138,163,107	1,0,0	564	149	1	1.0	1.0,1.0,1.0,1.0	0.973,1.0,1.0	0.009
79	"ENSMUSG00000031387.15"	"Renbp"	chrX	-	72972721	72974123	72972721	72973868	72974013	72974123	79	3,9,0,8	7,12,13,10	0,2,0	25,18,18	294	149	0.283722880168	1.0	0.178,0.275,0.0,0.288	0.0,0.053,0.0	0.168
80	"ENSMUSG00000031388.15"	"Naa10"	chrX	-	72963107	72963475	72963107	72963146	72963359	72963475	80	22,12,29,16	4,5,7,4	21,15,16	9,2,3	362	149	1	1.0	0.694,0.497,0.63,0.622	0.49,0.755,0.687	-0.033
81	"ENSMUSG00000031388.15"	"Naa10"	chrX	-	72963107	72963475	72963107	72963152	72963359	72963475	81	14,7,25,15	104,157,95,96	20,9,15	157,144,130	356	149	1	1.0	0.053,0.018,0.099,0.061	0.051,0.025,0.046	0.017
82	"ENSMUSG00000002014.13"	"Ssr4"	chrX	+	72830789	72832559	72830789	72830912	72832440	72832559	82	69,85,45,66	298,315,187,223	58,36,50	285,288,258	1677	149	1	1.0	0.02,0.023,0.021,0.026	0.018,0.011,0.017	0.007
83	"ENSMUSG00000002014.13"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030	83	99,167,132,116	6,1,1,1	108,93,93	0,2,0	633	149	1	1.0	0.795,0.975,0.969,0.965	1.0,0.916,1.0	-0.046
84	"ENSMUSG00000002007.6"	"Srpk3"	chrX	+	72821710	72821952	72821710	72821780	72821859	72821952	84	3,11,6,2	1,14,9,14	0,8,17	0,6,7	228	149	1	1.0	0.662,0.339,0.303,0.085	NA,0.466,0.613	-0.192
85	"ENSMUSG00000031385.15"	"Plxnb3"	chrX	+	72810546	72811278	72810546	72810786	72811126	72811278	85	51,10,32,35	0,0,1,1	28,12,29	1,0,0	489	149	1	1.0	1.0,1.0,0.907,0.914	0.895,1.0,1.0	-0.01
87	"ENSMUSG00000073125.11"	"Xlr3b"	chrX	+	72239547	72241991	72239547	72239582	72240958	72241991	87	3,34,30,42	38,32,25,32	0,8,37	8,7,29	1525	149	1	1.0	0.008,0.094,0.105,0.114	0.0,0.1,0.111	0.01
88	"ENSMUSG00000073125.11"	"Xlr3b"	chrX	+	72240958	72241991	72240958	72241076	72241891	72241991	88	38,107,41,57	8,16,12,17	21,4,41	3,0,12	964	149	1	1.0	0.423,0.508,0.346,0.341	0.52,1.0,0.346	-0.217
89	"ENSMUSG00000057836.13"	"Xlr3a"	chrX	-	72134464	72136910	72134464	72134564	72136875	72136910	89	22,48,12,29	0,1,0,0	2,4,16	0,0,0	2460	149	1	1.0	1.0,0.744,1.0,1.0	1.0,1.0,1.0	-0.064
90	"ENSMUSG00000031340.9"	"Gabre"	chrX	-	71308124	71308345	71308124	71308214	71308310	71308345	90	5,11,14,9	0,0,2,0	6,16,1	0,0,0	245	149	1	1.0	1.0,1.0,0.81,1.0	1.0,1.0,1.0	-0.047
92	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52715659	52717370	52715659	52715716	52717233	52717370	92	14,53,32,33	1,0,0,0	12,37,15	0,0,0	1666	149	1	1.0	0.556,1.0,1.0,1.0	1.0,1.0,1.0	-0.111
93	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52715659	52717370	52715659	52715824	52717233	52717370	93	11,39,26,26	8,5,8,9	11,32,8	0,4,1	1558	149	0.241499798699	1.0	0.116,0.427,0.237,0.216	1.0,0.433,0.433	-0.373
94	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52715659	52717370	52715659	52715884	52717233	52717370	94	11,39,26,26	1,3,0,0	10,32,8	0,3,1	1498	149	0.380242599245	1.0	0.522,0.564,1.0,1.0	1.0,0.515,0.443	0.119
95	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52717233	52718574	52717233	52717370	52717848	52718574	95	0,14,10,5	4,0,1,0	8,10,2	1,1,2	627	149	0.563574391752	1.0	0.0,1.0,0.704,1.0	0.655,0.704,0.192	0.159
97	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52717233	52718574	52717233	52717370	52718173	52718574	97	5,17,25,8	0,1,0,0	28,17,12	0,4,3	952	149	0.0363817698579	1.0	1.0,0.727,1.0,1.0	1.0,0.399,0.385	0.337
98	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52717848	52718566	52717848	52717957	52718187	52718566	98	9,7,15,4	0,0,1,0	20,7,11	0,0,0	379	149	1	1.0	1.0,1.0,0.855,1.0	1.0,1.0,1.0	-0.036
99	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52717233	52718574	52717233	52717370	52718187	52718574	99	7,21,25,9	0,5,0,1	28,17,13	0,2,3	966	149	0.926881675366	1.0	1.0,0.393,1.0,0.581	1.0,0.567,0.401	0.087
100	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52717233	52718574	52717233	52717370	52718360	52718574	100	23,29,31,12	2,0,1,0	39,28,20	0,6,0	1139	149	1	1.0	0.601,1.0,0.802,1.0	1.0,0.379,1.0	0.058
101	"ENSMUSG00000121458.2"	"AW822252"	chrX	-	52717848	52718574	52717848	52717957	52718360	52718574	101	25,15,21,7	1,0,0,0	31,18,18	0,0,0	552	149	1	1.0	0.871,1.0,1.0,1.0	1.0,1.0,1.0	-0.032
107	"ENSMUSG00000031066.11"	"Usp11"	chrX	+	20578564	20579221	20578564	20578682	20579075	20579221	107	12,15,18,12	238,477,236,261	28,15,2	420,323,323	542	149	1	1.0	0.014,0.009,0.021,0.012	0.018,0.013,0.002	0.003
108	"ENSMUSG00000031066.11"	"Usp11"	chrX	+	20582985	20584043	20582985	20583192	20583993	20584043	108	149,197,142,206	268,400,258,229	59,101,99	358,341,332	950	149	1	1.0	0.08,0.072,0.079,0.124	0.025,0.044,0.045	0.051
109	"ENSMUSG00000031065.15"	"Cdk16"	chrX	+	20562256	20562706	20562256	20562380	20562585	20562706	109	58,57,19,46	602,932,615,793	43,30,24	836,835,735	354	149	1	1.0	0.039,0.025,0.013,0.024	0.021,0.015,0.014	0.009
110	"ENSMUSG00000031065.15"	"Cdk16"	chrX	+	20562969	20563203	20562969	20563075	20563160	20563203	110	82,46,24,34	579,748,523,517	35,42,46	723,708,642	234	149	1	1.0	0.083,0.038,0.028,0.04	0.03,0.036,0.044	0.011
111	"ENSMUSG00000097497.4"	"Gm26652"	chrX	-	19011599	19012468	19011599	19012191	19012313	19012468	111	28,46,21,35	1,1,0,0	20,47,18	2,0,1	271	149	1	1.0	0.939,0.962,1.0,1.0	0.846,1.0,0.908	0.057
114	"ENSMUSG00000100714.8"	"2010308F09Rik"	chrX	-	13100923	13101738	13100923	13101186	13101513	13101738	114	2,2,0,3	0,0,0,2	0,2,0	0,0,0	476	149	1	1.0	1.0,1.0,NA,0.32	NA,1.0,NA	-0.227
115	"ENSMUSG00000100714.8"	"2010308F09Rik"	chrX	-	13100707	13101738	13100707	13101186	13101656	13101738	115	4,2,0,6	0,0,0,1	0,2,2	0,0,0	619	149	1	1.0	1.0,1.0,NA,0.591	NA,1.0,1.0	-0.136
116	"ENSMUSG00000064127.14"	"Med14"	chrX	-	12572537	12572931	12572537	12572684	12572770	12572931	116	0,1,2,0	142,191,113,167	1,0,2	103,129,153	235	149	1	1.0	0.0,0.003,0.011,0.0	0.006,0.0,0.008	-0.001
118	"ENSMUSG00000058254.13"	"Tspan7"	chrX	+	10456374	10461593	10456374	10456458	10461517	10461593	118	349,555,317,476	2087,3454,2158,2469	224,340,324	2989,2959,2717	5208	149	1	1.0	0.005,0.005,0.004,0.005	0.002,0.003,0.003	0.002
119	"ENSMUSG00000058254.13"	"Tspan7"	chrX	+	10456374	10462844	10456374	10461593	10461868	10462844	119	13,26,13,17	2414,4565,2542,3587	10,10,19	3449,3520,3062	424	149	1	1.0	0.002,0.002,0.002,0.002	0.001,0.001,0.002	0.001
120	"ENSMUSG00000039201.11"	"Tbc1d25"	chrX	-	8022554	8023017	8022554	8022743	8022889	8023017	120	3,3,5,3	36,54,21,20	5,4,7	69,29,48	295	149	1	1.0	0.04,0.027,0.107,0.07	0.035,0.065,0.069	0.005
121	"ENSMUSG00000039201.11"	"Tbc1d25"	chrX	-	8041949	8042420	8041949	8042088	8042295	8042420	121	25,12,13,14	0,2,0,0	38,10,42	0,0,0	356	149	1	1.0	1.0,0.715,1.0,1.0	1.0,1.0,1.0	-0.071
122	"ENSMUSG00000134810.1"	"ENSMUSG00000134810"	chrX	+	7998082	7998486	7998082	7998184	7998347	7998486	122	38,66,77,64	0,5,0,0	38,46,40	0,0,0	312	149	1	1.0	1.0,0.863,1.0,1.0	1.0,1.0,1.0	-0.034
123	"ENSMUSG00000039231.19"	"Suv39h1"	chrX	-	7929934	7930296	7929934	7930064	7930149	7930296	123	4,2,15,1	80,78,41,63	4,8,20	74,74,60	234	149	1	1.0	0.031,0.016,0.189,0.01	0.033,0.064,0.175	-0.029
124	"ENSMUSG00000031161.16"	"Hdac6"	chrX	-	7804624	7805904	7804624	7804731	7805681	7805904	124	29,53,68,81	50,91,57,66	46,26,21	55,97,73	1099	149	1	1.0	0.073,0.073,0.139,0.143	0.102,0.035,0.038	0.049
125	"ENSMUSG00000031161.16"	"Hdac6"	chrX	-	7805681	7805904	7805681	7805771	7805844	7805904	125	10,8,3,14	64,94,73,60	8,2,5	58,92,65	222	149	1	1.0	0.095,0.054,0.027,0.135	0.085,0.014,0.049	0.028
126	"ENSMUSG00000031154.16"	"Otud5"	chrX	+	7733753	7734062	7733753	7733818	7733905	7734062	126	2,2,3,8	245,270,208,253	3,0,3	222,239,238	236	149	1	1.0	0.005,0.005,0.009,0.02	0.008,0.0,0.008	0.004
127	"ENSMUSG00000000134.18"	"Tfe3"	chrX	+	7632793	7633923	7632793	7633094	7633677	7633923	127	1,13,10,10	81,95,61,70	2,4,1	88,77,53	732	149	1	1.0	0.003,0.027,0.032,0.028	0.005,0.01,0.004	0.016
128	"ENSMUSG00000000134.18"	"Tfe3"	chrX	+	7635668	7637069	7635668	7635786	7637012	7637069	128	51,54,64,80	70,69,60,73	20,25,27	90,69,68	1375	149	1	1.0	0.073,0.078,0.104,0.106	0.024,0.038,0.041	0.056
129	"ENSMUSG00000000134.18"	"Tfe3"	chrX	+	7637233	7638835	7637233	7637309	7638687	7638835	129	62,45,55,74	64,112,92,84	34,59,42	114,104,80	1527	149	1	1.0	0.086,0.038,0.055,0.079	0.028,0.052,0.049	0.021
130	"ENSMUSG00000000134.18"	"Tfe3"	chrX	+	7638687	7641440	7638687	7638835	7639732	7641440	130	18,26,14,11	63,128,101,87	11,24,24	104,91,103	1046	149	1	1.0	0.039,0.028,0.019,0.018	0.015,0.036,0.032	-0.002
131	"ENSMUSG00000039382.13"	"Wdr45"	chrX	+	7589553	7589992	7589553	7589596	7589803	7589992	131	2,7,12,9	2,0,0,0	0,6,12	0,2,1	356	149	1	1.0	0.295,1.0,1.0,1.0	NA,0.557,0.834	0.128
132	"ENSMUSG00000039382.13"	"Wdr45"	chrX	+	7589553	7589992	7589553	7589603	7589803	7589992	132	2,7,12,9	1,5,12,0	0,5,12	3,8,5	349	149	0.339018591283	1.0	0.461,0.374,0.299,1.0	0.0,0.211,0.506	0.294
142	"ENSMUSG00000097785.5"	"B230217O12Rik"	chr19	-	57348445	57349086	57348445	57348622	57349042	57349086	142	91,118,150,168	0,0,0,2	140,154,103	1,0,0	569	149	1	1.0	1.0,1.0,1.0,0.957	0.973,1.0,1.0	-0.002
144	"ENSMUSG00000025077.15"	"Dclre1a"	chr19	-	56528613	56530055	56528613	56528754	56529936	56530055	144	25,35,46,33	10,19,9,25	14,11,15	9,8,9	1331	149	1	1.0	0.219,0.171,0.364,0.129	0.148,0.133,0.157	0.075
145	"ENSMUSG00000084957.4"	"Bbip1"	chr19	-	53920560	53922001	53920560	53920636	53921921	53922001	145	230,292,221,294	3,4,3,3	160,219,120	7,4,1	1434	149	1	1.0	0.888,0.884,0.884,0.911	0.704,0.85,0.926	0.065
151	"ENSMUSG00000025036.8"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	151	87,139,135,145	2,8,3,1	101,124,87	0,1,0	2279	149	0.0144019677243	1.0	0.74,0.532,0.746,0.905	1.0,0.89,1.0	-0.233
153	"ENSMUSG00000118087.4"	"4833438C02Rik"	chr19	-	46292029	46293289	46292029	46292219	46292307	46293289	153	2,0,2,12	0,3,0,0	3,8,4	0,0,0	237	149	1	1.0	1.0,0.0,1.0,1.0	1.0,1.0,1.0	-0.25
154	"ENSMUSG00000025220.9"	"Oga"	chr19	-	45765325	45767123	45765325	45765456	45767025	45767123	154	88,100,114,83	383,531,343,488	96,102,70	390,422,377	1718	149	1	1.0	0.02,0.016,0.028,0.015	0.021,0.021,0.016	0.0
155	"ENSMUSG00000100417.5"	"Gm28578"	chr19	-	45318051	45318604	45318051	45318363	45318445	45318604	155	0,4,0,0	0,2,2,0	0,0,0	2,0,0	231	149	1	1.0	NA,0.563,0.0,NA	0.0,NA,NA	0.281
156	"ENSMUSG00000100417.5"	"Gm28578"	chr19	-	45326193	45326560	45326193	45326287	45326369	45326560	156	8,2,3,2	1,5,2,2	0,2,1	7,9,4	231	149	0.00331682467805	0.5717248311030516	0.838,0.205,0.492,0.392	0.0,0.125,0.139	0.394
157	"ENSMUSG00000074818.14"	"Pdzd7"	chr19	-	45017162	45017762	45017162	45017332	45017411	45017762	157	27,46,21,13	0,3,0,0	17,29,38	0,0,5	228	149	1	1.0	1.0,0.909,1.0,1.0	1.0,1.0,0.832	0.033
159	"ENSMUSG00000025207.17"	"Sema4g"	chr19	+	44989606	44991836	44989606	44990657	44990785	44991836	159	46,79,51,71	56,58,37,36	71,50,36	61,42,34	277	149	1	1.0	0.306,0.423,0.426,0.515	0.385,0.39,0.363	0.038
161	"ENSMUSG00000117823.3"	"Gm35610"	chr19	+	44729711	44730245	44729711	44729788	44730103	44730245	161	0,1,0,0	0,0,0,0	0,0,0	0,0,2	464	149	1	1.0	NA,1.0,NA,NA	NA,NA,0.0	1.0
163	"ENSMUSG00000025188.16"	"Hps1"	chr19	-	42744696	42746345	42744696	42744779	42746231	42746345	163	88,148,141,149	5,3,2,8	77,88,73	4,5,3	1601	149	0.932135176862	1.0	0.621,0.821,0.868,0.634	0.642,0.621,0.694	0.084
164	"ENSMUSG00000025178.10"	"Pi4k2a"	chr19	+	42103475	42104457	42103475	42103575	42104323	42104457	164	28,47,48,28	187,179,136,131	34,29,47	189,196,187	897	149	1	1.0	0.024,0.042,0.055,0.034	0.029,0.024,0.04	0.008
165	"ENSMUSG00000025006.19"	"Sorbs1"	chr19	-	40365088	40365460	40365088	40365247	40365427	40365460	165	108,166,69,97	4,3,0,5	110,145,127	10,9,10	329	149	1	1.0	0.924,0.962,1.0,0.898	0.833,0.879,0.852	0.091
176	"ENSMUSG00000097787.5"	"Sgms1os1"	chr19	+	32366592	32367430	32366592	32366776	32367104	32367430	176	38,43,7,24	8,4,12,14	18,8,20	15,7,12	477	149	0.569977249837	1.0	0.597,0.771,0.154,0.349	0.273,0.263,0.342	0.175
