ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
85423	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698417	134652693	134652766	134698536	134698613
85424	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698417	134696890	134697085	134698536	134698613
85425	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698417	134697697	134697786	134698536	134698613
85426	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698446	134652693	134652766	134698536	134698613
85427	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698446	134696890	134697085	134698536	134698613
85428	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698446	134697697	134697786	134698536	134698613
85429	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698625	134652693	134652766	134698771	134698843
85430	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698652	134652693	134652766	134698771	134698843
85431	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698681	134652693	134652766	134698771	134698843
85432	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698625	134652693	134652766	134698771	134698843
85433	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698625	134698301	134698378	134698771	134698843
85434	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698652	134652693	134652766	134698771	134698843
85435	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698652	134698301	134698378	134698771	134698843
85436	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698681	134652693	134652766	134698771	134698843
85437	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698681	134698301	134698378	134698771	134698843
85438	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698537	134698613	134652693	134652766	134698771	134698843
85439	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698537	134698625	134652693	134652766	134698771	134698843
85440	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698537	134698652	134652693	134652766	134698771	134698843
85441	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698537	134698681	134652693	134652766	134698771	134698843
85442	"ENSMUSG00000052676.17"	"Zmat1"	chrX	-	133876066	133876111	133873691	133874775	133878396	133879377
85443	"ENSMUSG00000050394.15"	"Armcx6"	chrX	-	133651135	133651183	133650898	133650974	133651299	133651379
85444	"ENSMUSG00000050394.15"	"Armcx6"	chrX	-	133651898	133651932	133651689	133651782	133652078	133652166
85445	"ENSMUSG00000033460.15"	"Armcx1"	chrX	+	133620147	133620252	133619668	133619857	133620375	133620474
85446	"ENSMUSG00000045427.14"	"Hnrnph2"	chrX	+	133503440	133503716	133501927	133502082	133505603	133507809
85447	"ENSMUSG00000045427.14"	"Hnrnph2"	chrX	+	133503448	133503716	133502019	133502082	133505603	133507809
85448	"ENSMUSG00000045427.14"	"Hnrnph2"	chrX	+	133503666	133503716	133503440	133503511	133505603	133507809
85449	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133326236	133326274	133324578	133324702	133327805	133327926
85450	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133327850	133327926	133324578	133324702	133329062	133329226
85451	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133347755	133347776	133347376	133347442	133348596	133348740
85452	"ENSMUSG00000031256.12"	"Cstf2"	chrX	+	132962197	132962279	132961693	132961863	132962442	132962579
