ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
9588	"ENSMUSG00000049536.6"	"Tceal1"	chrX	+	135608730	135609093	135608730	135608837	135609531	135612227
9589	"ENSMUSG00000049536.6"	"Tceal1"	chrX	+	135608730	135609038	135608730	135608841	135609531	135612227
9590	"ENSMUSG00000049536.6"	"Tceal1"	chrX	+	135608730	135609093	135608730	135608841	135609531	135612227
9591	"ENSMUSG00000049536.6"	"Tceal1"	chrX	+	135608730	135609093	135608730	135609038	135609531	135612227
9592	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115668	135115728	135115694	135115728	135114761	135115332
9593	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115979	135116129	135115981	135116129	135115694	135115729
9594	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115979	135116129	135115993	135116129	135115694	135115729
9595	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115979	135116233	135116085	135116233	135115694	135115729
9596	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115981	135116129	135115993	135116129	135115694	135115729
9597	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115981	135116233	135116085	135116233	135115694	135115729
9598	"ENSMUSG00000050071.9"	"Bex1"	chrX	-	135115993	135116233	135116085	135116233	135115694	135115729
9599	"ENSMUSG00000054034.11"	"Tceal5"	chrX	-	135104133	135104386	135104262	135104386	135103133	135103201
9600	"ENSMUSG00000054034.11"	"Tceal5"	chrX	-	135104133	135104481	135104386	135104481	135103133	135103201
9601	"ENSMUSG00000054034.11"	"Tceal5"	chrX	-	135104133	135104625	135104515	135104625	135103133	135103201
9602	"ENSMUSG00000054034.11"	"Tceal5"	chrX	-	135104133	135104625	135104604	135104625	135103133	135103201
9603	"ENSMUSG00000054034.11"	"Tceal5"	chrX	-	135104515	135104625	135104604	135104625	135103133	135103201
9604	"ENSMUSG00000051579.11"	"Tceal8"	chrX	-	135072168	135072454	135072394	135072454	135071737	135071798
9605	"ENSMUSG00000051579.11"	"Tceal8"	chrX	-	135072586	135072965	135072880	135072965	135072384	135072454
9606	"ENSMUSG00000042750.8"	"Bex2"	chrX	-	134968133	134968421	134968348	134968421	134967312	134967956
9607	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134739852	134740295	134739852	134740011	134740493	134740621
9608	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134739804	134740295	134739804	134739997	134740531	134740621
9609	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134739854	134740295	134739854	134740011	134740531	134740621
9610	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134740264	134740621	134740264	134740295	134741141	134741257
9611	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741000	134741286	134741000	134741230	134741367	134741439
9612	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741230	134741141	134741218	134741367	134741439
9613	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741286	134741141	134741218	134741367	134741439
9614	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741257	134741141	134741230	134741367	134741439
9615	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741286	134741141	134741257	134741367	134741439
9616	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741000	134741443	134741000	134741439	134741601	134741673
9617	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741000	134741482	134741000	134741439	134741601	134741673
9618	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741000	134741482	134741000	134741443	134741601	134741673
9619	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741511	134741141	134741443	134741601	134741673
9620	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741511	134741141	134741482	134741601	134741673
9621	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741367	134741511	134741367	134741439	134741601	134741673
9622	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741311	134741677	134741311	134741673	134741969	134742052
9623	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741311	134741716	134741311	134741673	134741969	134742052
9624	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741311	134741716	134741311	134741677	134741969	134742052
9625	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741367	134741677	134741367	134741439	134741969	134742052
9626	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741367	134741716	134741367	134741439	134741969	134742052
9627	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134742326	134742475	134742326	134742385	134746603	134746702
9628	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134786599	134786836	134786599	134786639	134787593	134787675
9629	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134786601	134786846	134786601	134786639	134787593	134787675
9630	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134788516	134788601	134788516	134788572	134789120	134789228
9631	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644480	134644190	134644271	134645247	134645324
9632	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644654	134644190	134644271	134645247	134645324
9633	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644190	134644654	134644190	134644480	134645247	134645324
9634	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644311	134644480	134644311	134644363	134645247	134645324
9635	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134644311	134644654	134644311	134644363	134645247	134645324
9636	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134649404	134649571	134649404	134649531	134652693	134652766
9637	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134696938	134697391	134696938	134697085	134697697	134697786
9638	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698390	134698301	134698378	134698536	134698613
9639	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698417	134698301	134698378	134698536	134698613
9640	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698446	134698301	134698378	134698536	134698613
9641	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698417	134698301	134698390	134698536	134698613
9642	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698446	134698301	134698390	134698536	134698613
9643	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698446	134698301	134698417	134698536	134698613
9644	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698625	134698301	134698378	134698771	134698843
9645	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698652	134698301	134698378	134698771	134698843
9646	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698681	134698301	134698378	134698771	134698843
9647	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698652	134698301	134698625	134698771	134698843
9648	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698681	134698301	134698625	134698771	134698843
9649	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698301	134698681	134698301	134698652	134698771	134698843
9650	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698625	134698536	134698613	134698771	134698843
9651	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698652	134698536	134698613	134698771	134698843
9652	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698536	134698681	134698536	134698613	134698771	134698843
9653	"ENSMUSG00000043384.16"	"Gprasp1"	chrX	+	134698537	134698847	134698537	134698843	134699139	134699222
9654	"ENSMUSG00000050394.15"	"Armcx6"	chrX	-	133651689	133651782	133651713	133651782	133651299	133651379
9655	"ENSMUSG00000033460.15"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619668	133619801
9656	"ENSMUSG00000033460.15"	"Armcx1"	chrX	+	133619635	133619801	133619635	133619741	133620375	133620474
9657	"ENSMUSG00000033460.15"	"Armcx1"	chrX	+	133619635	133619857	133619635	133619801	133620375	133620474
9658	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133305299	133305436	133305299	133305372	133305634	133305703
9659	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133305299	133305460	133305299	133305372	133305634	133305703
9660	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133305299	133305460	133305299	133305436	133305634	133305703
9661	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133340668	133340825	133340668	133340724	133341083	133342135
9662	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133340668	133340870	133340668	133340724	133341083	133342135
9663	"ENSMUSG00000000223.14"	"Drp2"	chrX	+	133340668	133340870	133340668	133340825	133341083	133342135
9664	"ENSMUSG00000031256.12"	"Cstf2"	chrX	+	132960059	132960470	132960059	132960171	132961392	132961471
9665	"ENSMUSG00000031256.12"	"Cstf2"	chrX	+	132962197	132962673	132962197	132962579	132963116	132963236
